"id";"api_id";"category";"description";"external_id";"fuel_type";"license_id";"model";"operator";"provider"
1935650;2576548;"";"Kimberley";"DriveNow_13462738";"DIESEL";"M-DX9047";"BMW 2er Cabrio";"DriveNow";"driveNow"
1935651;2954592;"";"Mickey";"DriveNow_13369163";"PETROL";"1PDG698";"BMW 1er";"DriveNow";"driveNow"
1935652;2575182;"";"Aleksandr";"DriveNow_13329731";"PETROL";"YG16UOV";"MINI Cabrio";"DriveNow";"driveNow"
1935653;336441;"";"Birdie";"DriveNow_13361306";"DIESEL";"M-DX5191";"BMW 2er Active Tourer";"DriveNow";"driveNow"
1935654;2576496;"";"Edward";"DriveNow_13383596";"PETROL";"M-DX8341";"MINI Clubman";"DriveNow";"driveNow"
1935655;1355860;"";"B-GO7071";"WME4533421K087830";"PETROL";"";"";"car2go";"car2go"
1935656;2810733;"";"B-GO8796";"WDD1173421N478485";"PETROL";"";"";"car2go";"car2go"
1935657;1358301;"";"B-GO8295";"WME4533421K089188";"PETROL";"";"";"car2go";"car2go"
1935658;2575328;"";"Andreas";"DriveNow_13499104";"PETROL";"OGG354";"MINI 3-Tuerer";"DriveNow";"driveNow"
1935659;2729138;"";"Sibylla";"DriveNow_13499174";"PETROL";"OGF362";"MINI 5-Tuerer";"DriveNow";"driveNow"
1935660;2573822;"";"Mauricio";"DriveNow_13292688";"PETROL";"M-DX5130";"MINI 3-Tuerer";"DriveNow";"driveNow"
1935661;1357415;"";"B-GO8017";"WME4533421K087531";"PETROL";"";"";"car2go";"car2go"
1935662;1357651;"";"B-GO8121";"WME4533421K086259";"PETROL";"";"";"car2go";"car2go"
1935663;2574517;"";"Buck";"DriveNow_13389225";"DIESEL";"M-DX8330";"BMW 1er";"DriveNow";"driveNow"
1935664;317858;"";"Jolee";"DriveNow_13204613";"PETROL";"M-DX9848";"MINI 3-Tuerer";"DriveNow";"driveNow"
1935665;1356550;"";"B-GO6953";"WME4533421K086686";"PETROL";"";"";"car2go";"car2go"
1935666;1653994;"";"Fin";"DriveNow_13432220";"PETROL";"M-DX8834";"MINI Cabrio";"DriveNow";"driveNow"
1935667;2574818;"";"Constantin";"DriveNow_13478165";"PETROL";"M-DX8994";"MINI 5-Tuerer";"DriveNow";"driveNow"
1935668;1358644;"";"B-GO4538";"WME4533421K071759";"PETROL";"";"";"car2go";"car2go"
1935669;1355778;"";"B-GO4345";"WME4533421K065694";"PETROL";"";"";"car2go";"car2go"
1935670;1357239;"";"B-GO4911";"WME4533421K073196";"PETROL";"";"";"car2go";"car2go"
1935671;1357932;"";"1392 / W-84830C";"WME4513341K831220";"PETROL";"";"";"car2go";"car2go"
1935672;363240;"";"Tasha";"DriveNow_13264684";"PETROL";"M-DX5343";"MINI 5-Tuerer";"DriveNow";"driveNow"
1935673;1474040;"";"B-GO8374";"WDD1760121J508450";"PETROL";"";"";"car2go";"car2go"
1935674;1356171;"";"B-GO4683";"WME4533421K070082";"PETROL";"";"";"car2go";"car2go"
1935675;1241515;"";"Konstance";"DriveNow_13423595";"PETROL";"M-DX8289";"MINI Cabrio";"DriveNow";"driveNow"
1935676;1379647;"";"B-GO8572";"WDD1760121J512079";"PETROL";"";"";"car2go";"car2go"
1935677;2574773;"";"Hailee";"DriveNow_13369352";"PETROL";"1PDD032";"BMW 2er Active Tourer";"DriveNow";"driveNow"
1935678;1359164;"";"B-GO3827";"WME4533421K039581";"PETROL";"";"";"car2go";"car2go"
1935679;1355697;"";"B-GO5327";"WDD1173421N386139";"PETROL";"";"";"car2go";"car2go"
1935680;2575251;"";"Ohm";"DriveNow_13119995";"ELECTRICITY";"M-EV5110";"BMW i3";"DriveNow";"driveNow"
1935681;1490525;"";"Kassandra";"DriveNow_13429499";"PETROL";"M-DX8745";"MINI Cabrio";"DriveNow";"driveNow"
1935682;1570117;"";"B-GO5599";"WDC1569431J291893";"PETROL";"";"";"car2go";"car2go"
1935683;1358367;"";"B-GO4909";"WME4533421K073324";"PETROL";"";"";"car2go";"car2go"
1935684;2574349;"";"André";"DriveNow_13449367";"DIESEL";"W-26914D";"BMW 2er Active Tourer";"DriveNow";"driveNow"
1935685;1357412;"";"B-GO8166";"WME4533421K088162";"PETROL";"";"";"car2go";"car2go"
1935686;2576463;"";"April";"DriveNow_13251592";"PETROL";"YB65CKY";"MINI 3-Tuerer";"DriveNow";"driveNow"
1935687;1653819;"";"Aileen";"DriveNow_13432229";"PETROL";"M-DX8837";"MINI Cabrio";"DriveNow";"driveNow"
1935688;1355835;"";"B-GO5765";"WDD1760431J525308";"PETROL";"";"";"car2go";"car2go"
1935689;359098;"";"Christel";"DriveNow_13292653";"PETROL";"M-DX5303";"MINI 3-Tuerer";"DriveNow";"driveNow"
1935690;2574734;"";"Krissy";"DriveNow_13202828";"ELECTRICITY";"M-EV5668";"BMW i3";"DriveNow";"driveNow"
1935691;1358020;"";"B-GO5501";"WDD1760431J515702";"PETROL";"";"";"car2go";"car2go"
1935692;1357719;"";"B-GO5246";"WDD1760421J477703";"PETROL";"";"";"car2go";"car2go"
1935693;1358318;"";"B-GO5672";"WDD1760431J524528";"PETROL";"";"";"car2go";"car2go"
1935694;523691;"";"Costa";"DriveNow_13383838";"DIESEL";"M-DX5547";"MINI 5-Tuerer";"DriveNow";"driveNow"
1935695;34516;"";"Thierry";"DriveNow_13119970";"ELECTRICITY";"M-EV5076";"BMW i3";"DriveNow";"driveNow"
